Fecha,Anio,Mes,Estacion,Precipitacion,Temperatura,Humedad,BrilloSolar
1985-09-01,1985,9,2120557,100.2,,,119.8
2007-03-01,2007,3,2401519,85.7,13.5,64.0,124.9
2010-09-01,2010,9,2120557,48.7,,87.0,92.3
1957-05-01,1957,5,2120629,137.7,,,
2010-07-01,2010,7,2120559,155.5,14.6,84.0,82.5
1981-01-01,1981,1,2120559,9.7,12.4,75.0,
1980-01-01,1980,1,2120561,8.4,12.7,87.0,183.9
1997-11-01,1997,11,2120540,33.1,14.5,62.0,146.9
1960-02-01,1960,2,2120629,95.4,,,
1981-01-01,1981,1,2120557,24.2,11.6,75.0,229.5
2017-03-01,2017,3,2120639,283.2,22.4,86.0,130.2
1993-05-01,1993,5,2401519,196.2,14.3,70.0,102.9
2007-08-01,2007,8,2119514,65.8,16.9,83.0,75.6
1996-12-01,1996,12,2120557,36.2,11.9,78.0,102.6
2001-04-01,2001,4,2120557,11.0,14.2,77.0,93
2000-03-01,2000,3,2120630,93.4,,65.0,150.3
1980-12-01,1980,12,2120548,23.6,11.7,79.0,204.3
2012-09-01,2012,9,2401519,16.6,12.9,76.0,73.5
1996-05-01,1996,5,2119514,,,,
1978-08-01,1978,8,2401519,24.2,10.6,77.0,107.7
1976-06-01,1976,6,2120559,43.8,11.2,76.0,93.7
1982-02-01,1982,2,2120548,23.6,13.4,80.0,107.7
1962-06-01,1962,6,2120562,86.7,,,
1982-06-01,1982,6,2120559,16.7,13.6,78.0,72.1
1961-11-01,1961,11,2120540,64.5,11.7,,
1992-11-01,1992,11,2120641,192.9,23.8,83.0,167.3
1987-01-01,1987,1,2120548,23.9,12.1,80.0,
2018-01-01,2018,1,2120639,153.0,22.8,79.0,186.7
1995-08-01,1995,8,2120557,118.3,11.9,80.0,66.2
2005-08-01,2005,8,2120548,77.9,11.5,85.0,64.7
1970-05-01,1970,5,2120629,85.8,,,
1958-07-01,1958,7,2401513,,,,
2011-08-01,2011,8,2120646,33.1,23.3,63.0,150.8
2000-05-01,2000,5,2120641,156.6,24.9,,93.1
1990-11-01,1990,11,2401519,106.8,,,
2014-10-01,2014,10,2120647,253.2,22,83.0,119.8
1996-11-01,1996,11,2120644,57.6,26.8,70.0,14.6
2012-12-01,2012,12,2401513,33.8,13.6,77.0,200.4
2012-02-01,2012,2,2120639,132.0,23,81.0,184.8
2010-10-01,2010,10,2120540,113.0,14.9,72.0,172.3
1991-02-01,1991,2,2401519,23.5,15.3,,141
1987-06-01,1987,6,2120641,17.7,,,
2006-12-01,2006,12,2306516,,,,
1982-04-01,1982,4,2120562,203.7,15.4,77.0,
2014-01-01,2014,1,2120639,135.7,23.2,81.0,177.1
2003-07-01,2003,7,2120644,0.0,28.6,55.0,146.7
2012-07-01,2012,7,2120644,30.1,29.8,54.0,216.1
1970-09-01,1970,9,2120559,81.5,11.7,80.0,90.3
1978-05-01,1978,5,2120559,79.0,12,83.0,105.6
1994-07-01,1994,7,2120557,49.8,11.9,75.0,103.9
1990-08-01,1990,8,2306507,11.4,,,
2013-03-01,2013,3,2120639,74.4,,,137.9
1978-04-01,1978,4,2120548,109.1,13.6,82.0,62.4
1956-02-01,1956,2,2120548,29.6,,,
2003-05-01,2003,5,2306507,16.9,18.5,75.0,131.8
1999-08-01,1999,8,2120540,37.3,12.1,77.0,172.5
2011-04-01,2011,4,2120629,171.6,11.9,93.0,109.6
2001-11-01,2001,11,2120561,34.7,,,105
2016-09-01,2016,9,2120557,102.0,13.6,83.0,152.4
1999-05-01,1999,5,2401513,25.0,14.1,70.0,183.2
1960-10-01,1960,10,2120548,69.0,,,
2002-07-01,2002,7,2120639,31.3,23.2,69.0,177.7
1979-03-01,1979,3,2120548,44.7,13.3,96.0,
2010-10-01,2010,10,2120641,6.8,24.2,85.0,104.8
1985-11-01,1985,11,2120559,43.6,14.3,77.0,132.1
2002-04-01,2002,4,2120630,100.7,13.4,72.0,
1992-08-01,1992,8,2120561,23.3,15.4,72.0,162.9
1974-07-01,1974,7,2120561,12.1,12.4,70.0,184.7
2011-12-01,2011,12,2120562,66.3,13.2,85.0,134.7
2009-10-01,2009,10,2120629,186.6,14.4,88.0,148
2013-03-01,2013,3,2120644,52.4,,,181.9
2018-03-01,2018,3,2306517,110.2,22.6,83.0,138.1
1990-01-01,1990,1,2401519,12.0,,,
1955-09-01,1955,9,2120548,,,,
1986-10-01,1986,10,2120559,258.4,14,,76.5
1981-08-01,1981,8,2401513,1.1,,,
1985-09-01,1985,9,2120540,81.9,15.4,80.0,151
2006-09-01,2006,9,2306507,11.1,17.1,79.0,171.4
1965-09-01,1965,9,2120540,9.5,11.6,74.0,
2005-10-01,2005,10,2120647,0.3,,,129.1
1966-11-01,1966,11,2120559,183.7,11.8,,45.8
1986-03-01,1986,3,2120559,80.2,14.5,,53.9
2019-02-01,2019,2,2120540,15.5,,,
2005-04-01,2005,4,2120630,84.8,,,
1980-08-01,1980,8,2120562,44.6,12.8,77.0,
1941-03-01,1941,3,2120562,56.8,,,
1967-06-01,1967,6,2120559,110.1,11.7,,61.4
1993-03-01,1993,3,2120646,104.6,22.7,76.0,101.2
1974-11-01,1974,11,2120561,110.3,13.4,81.0,115
1989-03-01,1989,3,2120561,36.1,,,
2012-04-01,2012,4,2120548,250.0,13.6,89.0,67.9
2004-11-01,2004,11,2119514,,20.6,62.0,
2004-04-01,2004,4,2120644,76.2,27.6,62.0,157.3
2004-06-01,2004,6,2120644,16.0,29.3,51.0,212.3
1989-02-01,1989,2,2120559,60.2,,,
1957-11-01,1957,11,2120562,34.7,,,
2017-07-01,2017,7,2120557,65.0,13.7,83.0,151.3
1970-12-01,1970,12,2120561,47.3,12.6,79.0,157.6
1984-09-01,1984,9,2120559,56.5,13.6,77.0,
1988-12-01,1988,12,2120641,175.4,,,
